"Method","Time (ms)","Own Time (ms)"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable.findRep(ITermVar) PersistentUnifier.java","1742","195"
"mb.nabl2.terms.unification.ud.BaseUniDisunifier.findTerm(ITerm) BaseUniDisunifier.java","1713","137"
"mb.nabl2.terms.build.AAppl1Term.match(ITerm$Cases) AAppl1Term.java","1699","55"
"io.usethesource.capsule.util.EqualityComparator.lambda$static$7a2c8773$1(Object, Object) EqualityComparator.java","1684","32"
"java.util.Spliterator.getExactSizeIfKnown() Spliterator.java","1674","881"
"io.usethesource.capsule.core.PersistentTrieSet.__insert(Object) PersistentTrieSet.java","1670","19"
"io.usethesource.capsule.core.PersistentTrieSet.__insertEquivalent(Object, EqualityComparator) PersistentTrieSet.java","1651","140"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$RemoveAll.removeAll() PersistentUnifier.java","1597","83"
"java.util.Objects.hash(Object[]) Objects.java","1596","958"
"mb.nabl2.terms.unification.u.BaseUnifier.isCyclic(ITerm) BaseUnifier.java","1557","0"
